,User,Hashtags,Like,Retweet,Follow,Tag,Link,Time
0,PennimanJulia,,0,0,0,0,https://twitter.com/twitter/statuses/1525924596842897408,2022-05-15 19:42:28+00:00
1,bottledlegends,#NFTGiveaways,0,0,0,0,https://twitter.com/twitter/statuses/1525924554064928769,2022-05-15 19:42:18+00:00
2,daniellegfny,#SoundCloud,0,0,0,0,https://twitter.com/twitter/statuses/1525924547140235264,2022-05-15 19:42:17+00:00
3,BigBangAirdrops,#BigBangAirdrops,0,0,0,0,https://twitter.com/twitter/statuses/1525924513652920323,2022-05-15 19:42:09+00:00
4,YoussefAlli3,"#NFTs,#NFTGiveaways,#NFTProject,#NFT,#nftart,#NFTCommuntiy,#PublicMint,#FreeMint,#FreeNFT",0,0,0,0,https://twitter.com/twitter/statuses/1525924490336681986,2022-05-15 19:42:03+00:00
5,YoussefAlli3,"#NFT,#NFTGiveaways,#NFTcollections,#NFTProject",0,0,0,0,https://twitter.com/twitter/statuses/1525924369687580673,2022-05-15 19:41:34+00:00
6,cryptonfti,,0,0,0,0,https://twitter.com/twitter/statuses/1525924354088894474,2022-05-15 19:41:30+00:00
7,JasperQuin_NFT,"#UkraineRussiaWar,#Azovstal,#Ukrainian,#StopTheWar,#peace,#Mariupol",0,0,0,0,https://twitter.com/twitter/statuses/1525924056884731904,2022-05-15 19:40:20+00:00
8,A_ManOfTheWorld,#GiveawayNFT,0,0,@A_ManOfTheWorld,Tag people,https://twitter.com/twitter/statuses/1525923948097044481,2022-05-15 19:39:54+00:00
9,HarumiIkigai,"#NFTGiveaways,#NFT,#NFTCommunity,#NFTartist,#nftcollectors",0,0,0,0,https://twitter.com/twitter/statuses/1525923858066378754,2022-05-15 19:39:32+00:00
10,PopularionNFT,,0,1,0,0,https://twitter.com/twitter/statuses/1525923674989154304,2022-05-15 19:38:49+00:00
11,_ProjectNFT_,"#nft,#nftart,#NFTs,#NFTCommunity",0,0,0,0,https://twitter.com/twitter/statuses/1525923670211842048,2022-05-15 19:38:47+00:00
12,batmanestatenft,#NFT,0,0,['@batmanestatenft'],Tag people,https://twitter.com/twitter/statuses/1525923629413834754,2022-05-15 19:38:38+00:00
13,NFTartNegue,"#NFTs,#NFTCommmunty,#NFTcollections,#NFTGiveaways,#NFTGiveaways,#NFTs",0,0,0,0,https://twitter.com/twitter/statuses/1525923553769553920,2022-05-15 19:38:20+00:00
14,KIRIBASSjp,"#NFT,#NFTs,#NFTGiveaways,#NFTJPN,#NFTartist,#NFTJapan,#NFTColection",0,0,0,0,https://twitter.com/twitter/statuses/1525923528263860225,2022-05-15 19:38:14+00:00
15,chasejonrankin,,0,0,0,0,https://twitter.com/twitter/statuses/1525923507216867328,2022-05-15 19:38:09+00:00
16,_Rafael_Har_,#NFTs,0,1,0,0,https://twitter.com/twitter/statuses/1525923465571844096,2022-05-15 19:37:59+00:00
17,waffle_eth,"#WAGMI,#NFTCommunity,#nftcollector,#nftartist,#nftart,#NFTProject,#NFTGiveaways,#Ethereum",0,0,0,0,https://twitter.com/twitter/statuses/1525923326643912706,2022-05-15 19:37:26+00:00
18,SinVokers,,0,0,0,0,https://twitter.com/twitter/statuses/1525923157626040320,2022-05-15 19:36:45+00:00
19,nftsvipclub,#SneakersHeads,0,0,0,0,https://twitter.com/twitter/statuses/1525923150273339394,2022-05-15 19:36:43+00:00
20,YakCityNFT,#NFTGiveaways,1,0,0,0,https://twitter.com/twitter/statuses/1525923094891597824,2022-05-15 19:36:30+00:00
